epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1881.97,1.08813,0.54964,0.9583,0.7441,0.67067,0.7063,0.32686,1.59999,0.73503,1.15823,0.0003565,0.0003565,0.0003565
119,1901.17,1.07464,0.53573,0.95131,0.73048,0.67266,0.69056,0.3241,1.5879,0.74375,1.15645,0.000351,0.000351,0.000351
120,1920.06,1.07968,0.54521,0.96025,0.72448,0.69778,0.70369,0.32468,1.59344,0.74086,1.15312,0.0003455,0.0003455,0.0003455
121,1938.01,1.07597,0.54435,0.95973,0.76779,0.66001,0.69553,0.32097,1.59064,0.73819,1.14953,0.00034,0.00034,0.00034
122,1955.94,1.07314,0.5423,0.95545,0.73495,0.70607,0.71564,0.32765,1.60525,0.73709,1.15167,0.0003345,0.0003345,0.0003345
123,1971.71,1.06185,0.54044,0.94932,0.69722,0.73484,0.71899,0.32586,1.58634,0.73454,1.14588,0.000329,0.000329,0.000329
124,1987.41,1.07568,0.53557,0.95808,0.73684,0.69547,0.70941,0.32644,1.58157,0.73449,1.15326,0.0003235,0.0003235,0.0003235
125,2002.87,1.07397,0.54188,0.95727,0.75773,0.68026,0.71362,0.32582,1.60441,0.73653,1.15786,0.000318,0.000318,0.000318
126,2018.16,1.05541,0.53087,0.94875,0.74242,0.67545,0.70045,0.3236,1.5952,0.7375,1.15861,0.0003125,0.0003125,0.0003125
127,2033.41,1.04184,0.52491,0.94238,0.70819,0.70708,0.69329,0.32122,1.59467,0.73583,1.15831,0.000307,0.000307,0.000307
128,2048.62,1.0468,0.53012,0.94809,0.73319,0.68432,0.69501,0.32073,1.59648,0.73947,1.16807,0.0003015,0.0003015,0.0003015
129,2064.23,1.0467,0.53267,0.94841,0.75361,0.69101,0.70095,0.32273,1.59229,0.73278,1.16466,0.000296,0.000296,0.000296
130,2080.32,1.05109,0.53774,0.94999,0.76997,0.65955,0.69822,0.32183,1.59547,0.72728,1.16118,0.0002905,0.0002905,0.0002905
131,2098.13,1.02871,0.52415,0.94436,0.72204,0.69393,0.69541,0.32734,1.58363,0.73333,1.15914,0.000285,0.000285,0.000285
132,2114,1.04184,0.52655,0.95102,0.72144,0.68622,0.69638,0.32585,1.58798,0.72297,1.15977,0.0002795,0.0002795,0.0002795
133,2129.5,1.052,0.53054,0.95038,0.75403,0.66424,0.69926,0.33172,1.58523,0.72441,1.16372,0.000274,0.000274,0.000274
134,2145.14,1.01913,0.51521,0.94023,0.77918,0.66592,0.70455,0.32707,1.60088,0.72402,1.16674,0.0002685,0.0002685,0.0002685
135,2160.05,1.02209,0.51915,0.94177,0.73644,0.67906,0.70538,0.32892,1.59035,0.72267,1.16565,0.000263,0.000263,0.000263
136,2175.03,1.03927,0.5266,0.95134,0.77257,0.65705,0.70029,0.32804,1.58228,0.72403,1.16154,0.0002575,0.0002575,0.0002575
137,2192.03,1.00764,0.51414,0.93572,0.73898,0.6855,0.70146,0.3226,1.58564,0.72587,1.15802,0.000252,0.000252,0.000252
138,2207.51,1.00377,0.50682,0.93534,0.74735,0.68235,0.70154,0.32507,1.58039,0.724,1.15752,0.0002465,0.0002465,0.0002465
139,2222.83,1.00796,0.51188,0.93287,0.74417,0.68353,0.70431,0.32909,1.56884,0.71808,1.15259,0.000241,0.000241,0.000241
140,2238.31,1.02631,0.52229,0.93826,0.73406,0.68196,0.70518,0.32313,1.59132,0.72593,1.15978,0.0002355,0.0002355,0.0002355
141,2253.5,1.00361,0.51552,0.93822,0.73996,0.6918,0.70313,0.31962,1.59746,0.72747,1.1651,0.00023,0.00023,0.00023
142,2268.68,0.99711,0.50721,0.92987,0.74826,0.67869,0.69362,0.32012,1.59388,0.72499,1.17035,0.0002245,0.0002245,0.0002245
143,2283.78,0.99244,0.50227,0.9295,0.75341,0.67908,0.7012,0.32201,1.59671,0.73287,1.16839,0.000219,0.000219,0.000219
144,2298.9,0.98087,0.49321,0.92661,0.75376,0.67951,0.71026,0.32468,1.58885,0.73139,1.16403,0.0002135,0.0002135,0.0002135
145,2314.64,0.9874,0.49956,0.92544,0.75592,0.66797,0.70644,0.32249,1.60432,0.73044,1.16884,0.000208,0.000208,0.000208
146,2330.52,1.00132,0.50675,0.93867,0.73913,0.6651,0.70273,0.32599,1.58797,0.72319,1.16978,0.0002025,0.0002025,0.0002025
147,2346.13,0.99826,0.5045,0.93738,0.77313,0.67817,0.71517,0.32241,1.58797,0.72762,1.16977,0.000197,0.000197,0.000197
148,2361.81,0.98357,0.50135,0.93105,0.75109,0.68516,0.70213,0.32113,1.58992,0.71547,1.16894,0.0001915,0.0001915,0.0001915
149,2377.2,0.97772,0.49487,0.92671,0.7242,0.68955,0.7001,0.32386,1.58981,0.72043,1.16824,0.000186,0.000186,0.000186
150,2392.79,0.96778,0.49421,0.92596,0.75712,0.68651,0.71602,0.32812,1.58424,0.7123,1.16614,0.0001805,0.0001805,0.0001805
151,2411.9,0.96681,0.49506,0.92164,0.74672,0.69541,0.70415,0.32726,1.5927,0.72091,1.16784,0.000175,0.000175,0.000175
152,2430.84,0.98061,0.50485,0.92993,0.74263,0.67893,0.69556,0.32436,1.59666,0.71968,1.16991,0.0001695,0.0001695,0.0001695
153,2451.34,0.97627,0.50355,0.9272,0.74171,0.68852,0.696,0.32365,1.59547,0.71907,1.16784,0.000164,0.000164,0.000164
154,2470.81,0.96879,0.49787,0.92779,0.7722,0.67177,0.71025,0.32487,1.60099,0.72785,1.17021,0.0001585,0.0001585,0.0001585
155,2490.46,0.95712,0.48755,0.91976,0.75283,0.6789,0.70003,0.32411,1.59765,0.72396,1.17112,0.000153,0.000153,0.000153
156,2510.17,0.95633,0.49156,0.92322,0.74875,0.67518,0.68931,0.32283,1.58509,0.72416,1.16887,0.0001475,0.0001475,0.0001475
157,2529.79,0.95879,0.48864,0.92378,0.69416,0.71798,0.6966,0.32352,1.59485,0.72386,1.17132,0.000142,0.000142,0.000142
158,2549.28,0.95519,0.48557,0.92416,0.7627,0.67436,0.70799,0.32769,1.59163,0.72071,1.16549,0.0001365,0.0001365,0.0001365
159,2568.55,0.95443,0.48694,0.92159,0.73508,0.68706,0.70557,0.32582,1.58957,0.7215,1.16549,0.000131,0.000131,0.000131
160,2589.69,0.92843,0.4793,0.91517,0.76787,0.67423,0.7074,0.32842,1.58547,0.71987,1.16727,0.0001255,0.0001255,0.0001255
